RecordID,RentalDate,ReturnDate,RentalCustomerID
cec1,2005-05-19,2005-06-10,jbez
efpj1,1993-10-20,1993-11-22,gtra
jomlcs1,2024-09-22,2024-10-30,fmcd
shals1,2006-01-24,2006-02-27,lcar
dymka1,2015-04-18,2015-05-12,hotw
pbs1,2016-09-03,2016-10-05,abcd
bcbc1,2024-11-27,2024-12-17,hotw
cymr1,2018-03-05,2018-03-24,abcd
shals1,2008-08-14,2008-08-29,gtra
dymka1,2011-02-11,2011-04-29,jbez
wrtc1,2024-05-17,2024-06-20,fmcd
tlawrtb1,2023-10-25,2023-11-05,hotw
rme1,2022-07-28,2022-08-29,jbez
cgtc1,2024-09-24,2024-10-12,lcar
sosds1,1992-01-19,1993-05-21,fmcd
cgtc1,2024-11-10,2024-11-29,lbro
kmccw1,2022-09-21,2022-11-22,abcd
tlawrtb1,2024-05-05,2024-05-26,heva
kmccw1,2023-02-12,2023-02-24,hotw
dymka1,2016-05-01,2016-05-15,heva
pbs1,2024-02-08,2024-03-09,fmcd
bitu1,2003-08-16,2004-05-06,abcd
bcbc1,2024-11-29,2024-12-10,lcar
cl2p1,2002-03-15,2002-03-28,heva
cec1,2014-04-09,2014-04-19,abcd
sosds1,1994-07-13,1994-07-26,gtra
bcbc1,2024-03-01,2024-04-05,vtic
botbccw1,2024-11-24,2024-11-30,lbro
jomlcs1,2022-07-05,2022-07-21,jbez
tlawrtb1,2022-09-13,2022-09-27,ocol
cec1,2020-01-07,2021-05-29,hotw
cl2p1,2024-03-23,2024-04-06,lbro
sosds1,1998-04-05,1999-09-29,abcd
kmccw1,2024-06-12,2024-06-28,heva
botbccw1,2024-11-30,2024-12-19,fmcd
jomlcs1,2023-04-08,2023-04-18,abcd
shals1,1999-01-18,1999-01-30,vtic
bitu1,2009-10-14,2010-11-25,jbez
rme1,2007-03-21,2007-05-12,hotw
dymka1,2013-05-12,2013-05-30,lcar
bcbc1,2024-12-09,2024-12-20,gtra
pbs1,2014-10-10,2014-12-12,vtic
wrtc1,2024-06-25,2024-07-25,heva
cec1,2011-11-04,2011-11-18,hotw
tpk1,2023-08-24,2023-12-12,abcd
cl2p1,2018-02-19,2019-01-12,lcar
dymka1,2020-11-09,2020-11-27,jbez
kmccw1,2022-06-05,2022-07-05,gtra
shals1,2005-07-14,2005-07-29,ocol
sosds1,1993-06-23,1994-07-12,abcd
bitu1,2016-03-20,2016-04-12,lbro
pbs1,2018-07-15,2018-08-19,abcd
cec1,2003-02-11,2003-02-25,jbez
tpk1,2024-09-18,2024-11-01,fmcd
bcbc1,2024-11-22,2024-12-07,heva
botbccw1,2020-01-07,2020-02-07,vtic
cl2p1,2001-05-09,2001-05-21,abcd
cymr1,2017-09-06,2017-09-24,lbro
kmccw1,2020-03-17,2021-04-28,jbez
rme1,2012-08-13,2012-08-29,hotw
dymka1,2024-02-04,2024-03-04,vtic
pbs1,2012-11-08,2013-01-01,abcd
tlawrtb1,2023-02-09,2023-02-24,jbez
efpj1,1997-04-14,1997-04-28,hotw
jomlcs1,2024-11-21,,lbro
sosds1,1991-11-09,1992-01-01,abcd
cec1,2008-06-12,2008-06-30,lcar
kmccw1,2019-12-21,2020-01-12,hotw
dymka1,2021-10-15,2021-11-04,abcd
botbccw1,2024-10-04,2024-11-30,vtic
efpj1,2003-09-06,2004-08-19,jbez
sosds1,1996-03-19,1996-05-07,ocol
tlawrtb1,2024-02-16,2024-03-02,heva
kmccw1,2021-02-03,2021-03-03,abcd
cl2p1,2019-07-01,2019-07-20,hotw
bcbc1,2024-11-26,2024-11-30,fmcd
wrtc1,2024-05-09,2024-05-22,vtic
shals1,2007-10-12,2007-11-12,hotw
jomlcs1,2024-01-18,2024-02-18,abcd
tpk1,2024-11-30,,gtra
tlawrtb1,2023-06-21,2023-07-21,heva
cgtc1,2024-08-11,2024-09-11,hotw
cec1,2013-01-23,2013-02-11,lbro
efpj1,1995-05-10,1995-12-12,abcd
rme1,2007-01-10,2007-03-03,lbro
sosds1,1991-10-11,1991-11-05,gtra
cl2p1,2019-06-01,2019-06-20,vtic
botbccw1,2018-01-01,2018-01-20,abcd
efpj1,2001-02-14,2001-03-14,lbro
shals1,1997-03-01,1997-03-15,hotw
cl2p1,2019-04-01,2019-04-20,gtra
dymka1,2013-03-10,2013-03-28,heva
pbs1,2015-05-21,2015-06-15,fmcd
kmccw1,2020-02-16,2020-03-01,jbez
cec1,2009-06-02,2009-06-20,vtic
tlawrtb1,2012-05-01,2012-05-20,lcar
cgtc1,2016-06-01,2016-06-15,ocol
tlawrtb1,2024-11-28,2024-12-03,abcd
botbccw1,2024-10-20,2024-12-03,vtic
wrtc1,2024-12-01,2024-12-03,gtra
rme1,2024-12-06,2024-12-07,gtra

pbs1,2024-12-10,2024-12-10,ocol

bitu1,2024-12-10,,heva
bcbc1,2024-12-10,,jbez
